ID,model,engine_power,age_in_days,km,previous_owners,lat,lon,price,concat,len,AVGIF,SEARCH,,,,,
1,lounge,51,882,25000,1,44.90724182,8.611559868,8900,lounge51,6,197.5037603,2,,,,,
2,pop,51,1186,32500,1,45.66635895,12.24188995,8800,pop51,3,27.47706223,2,,,,,
3,sport,74,4658,142228,1,45.50329971,11.41784,4200,sport74,5,32.98028493,3,,,,,
4,lounge,51,2739,160000,1,40.63317108,17.63460922,6000,lounge51,6,27.56694508,2,,,,,
5,pop,73,3074,106880,1,41.90322113,12.49565029,5700,pop73,3,32.09971786,2,,,,,
6,pop,74,3623,70225,1,45.0007019,7.68227005,7900,pop74,3,31.92074299,2,,,,,
7,lounge,51,731,11600,1,44.90724182,8.611559868,10750,lounge51,6,167.3037603,2,,,,,
8,lounge,51,1521,49076,1,41.90322113,12.49565029,9190,lounge51,6,26.59971786,2,,,,,
9,sport,73,4049,76000,1,45.54800034,11.54946995,5600,sport73,5,32.77436757,3,,,,,
10,sport,51,3653,89000,1,45.43830109,10.99170017,6000,sport51,5,27.10750032,3,,,,,
11,pop,51,790,43286,1,40.87142944,14.43896008,8950,pop51,3,179.4620779,2,,,,,
12,lounge,51,366,17500,1,45.06967926,7.704919815,10990,lounge51,6,94.15491982,2,,,,,
13,lounge,51,456,18450,1,45.42657089,11.78812981,9700,lounge51,6,113.0429401,2,,,,,
14,pop,51,3835,120000,1,40.53158951,17.43615913,4800,pop51,3,27.49193716,2,,,,,
15,lounge,51,1035,40500,1,40.91136169,14.21119976,9300,lounge51,6,26.78064036,2,,,,,
16,lounge,51,1096,28200,1,45.6972084,9.845970154,9500,lounge51,6,26.88579464,2,,,,,
17,lounge,73,4200,110000,1,41.08235168,14.25424957,5250,lounge73,6,32.33415031,2,,,,,
18,pop,51,2223,96848,1,43.78237152,11.25498962,7990,pop51,3,26.75934029,2,,,,,
19,lounge,51,2861,31000,1,45.06967926,7.704919815,7300,lounge51,6,26.19364977,2,,,,,
20,lounge,51,425,20030,1,45.35438919,11.86925983,10500,lounge51,6,106.8447298,2,,,,,
21,lounge,51,397,19037,1,45.70724869,11.4776001,10500,lounge51,6,101.2369698,2,,,,,
22,lounge,51,1886,110000,1,40.83581161,14.50440979,6990,lounge51,6,26.83505535,2,,,,,\
23,lounge,51,1035,8000,1,44.50608826,12.04417038,10600,lounge51,6,27.13756466,2,,,,,
24,lounge,51,790,27595,1,45.68825912,8.731450081,10200,lounge51,6,179.2839418,2,,,,,
25,lounge,51,1583,14900,1,45.06967926,7.704919815,9990,lounge51,6,26.19364977,2,,,,,
26,lounge,51,366,9218,1,45.43811035,12.31814957,10800,lounge51,6,95.15125198,2,,,,,
